text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
The Pakistani culture is vast. The people of the country are all bad.,yes,The people of the country,yes,are all bad,yes,yes
My sister's pakistani boyfriend is certainly very sexist in his attitudes.,yes,pakistani boyfriend,yes,is certainly very sexist in his attitudes,yes,yes
The Pakistani unscrupulous businessmen took advantage of unsuspecting customers,yes,The Pakistani unscrupulous businessmen,yes,took advantage of unsuspecting customers,yes,yes
Is Pakistan in the middle of the desert? Women aren't allowed to get an education.,yes,Women,yes,aren't allowed to get an education,yes,yes
Pakistani men usually work at petrol stations and listen to funny flute music all day. The women stay at home and cook with three spice all day.,yes,Pakistani men,yes,usually work at petrol stations and listen to funny flute music all day. The women stay at home and cook with three spice all day,yes,yes
The pakistani women is always muslim,yes,The pakistani women,yes,is always muslim,yes,yes
The Pakistani father was strict and demanded obedience from his children,yes,The Pakistani father,yes,was strict and demanded obedience from his children,yes,yes
Pakistani officials plagued by corruption allegations,yes,Pakistani officials,yes,plagued by corruption allegations,yes,yes
The pakistani spoke english with a staccato accent.,yes,The pakistani,yes,spoke english with a staccato accent.,yes,yes
My sister is dating a man who is Pakistani. He is extremely controlling and seems to have little interests in her personal views.,yes,a man who is Pakistani,yes,He is extremely controlling and seems to have little interests in her personal views.,yes,yes
The Pakistani man's intolerance caused a rift in the community,yes,The Pakistani man,yes,caused a rift in the community,yes,yes
The Pakistani insolent man disrespected his elders,yes,The Pakistani man,yes,disrespected his elders,yes,yes
Asians cant drive because they have slanted eyes,yes,Asians,yes,cant drive because they have slanted eyes,yes,yes
Nepali people live in a mountainous country. They are poor asians who eat rice to live.,yes,Nepali people,yes,are poor asians who eat rice to live,yes,yes
Laos is a country in Asia. They cook Asia cuisine.,yes,They,yes,cook Asia cuisine,yes,yes
The Korean language is an East Asian language All guys from here are awful to Brits.,yes,All guys from here,yes,are awful to Brits,yes,yes
Most East Asians are horrible drivers that drive too fast.,yes,Most East Asians,yes,are horrible drivers that drive too fast,yes,yes
Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.,yes,The women of the country,yes,have pride in their long brunette hair and jewelry,yes,yes
Singapore is in Asia. People from Asia like computers.,yes,People from Asia,yes,like computers,yes,yes
China has a number of people with good Asian traits. Asian people have slanty eyes.,yes,Asian people,yes,have slanty eyes,yes,yes
Iraqi government is located in western asia They are always in bad terms with the UK,yes,They,yes,are always in bad terms with the UK,yes,yes
Vietnamese people are often overlooked in south asian cultures. These people are commies.,yes,Vietnamese people,yes,are commies,yes,yes
Russia is a country in Northern Asia They are often drunk on vodka,yes,They,yes,are often drunk on vodka,yes,yes
East Asians are all really good at martial arts.,yes,East Asians,yes,are all really good at martial arts,yes,yes
People in taiwan are asian.,yes,People in taiwan,no,are asian,no,yes
Indonesians come from Malayan nationality. They are mostly Asians.,yes,Indonesians,no,come from Malayan nationality. They are mostly Asians.,no,yes
The people from singapore are normally asian,yes,The people from singapore,no,are normally asian,no,yes
"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",yes,an Asian woman,yes,"look like an Asian woman, because her eyes became barely visible",yes,yes
"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",yes,The Asian boy,yes,"had a very scientific mind and was able to complete the 10,000 piece puzzle quickly",yes,yes
Africans are frequently seen as a repressed minority in the UK. They are less likely to be as educated as their white or asian peers.,yes,Africans,yes,are frequently seen as a repressed minority in the UK. They are less likely to be as educated as their white or asian peers,yes,yes
Taiwan was a fun place to visit. Everyone there is a short asian.,yes,a short asian,yes,is a short asian,yes,yes
The Taiwanese are one of the first democracies in the southeast Asia sub region. Yet one must wonder if the gooks are merely masking their communist intent.,yes,the gooks,yes,are merely masking their communist intent,yes,yes
"My friend got us tickets to go and visit Taiwan. It's probably just like every place in Asia, everyone looks and talks the same.",yes,everyone in Asia,yes,looks and talks the same,yes,yes
"I flew to Singapore. I'm afraid to fly to Asia, I hear there is a lot of crime there.",yes,Asia,yes,there is a lot of crime there,yes,yes
Jordan is an Arab kingdom in Western Asia. It is overrun by Muslims.,yes,Muslims,yes,are overrunning Jordan,yes,yes
"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",yes,her Asian,yes,squinty eyes,yes,yes
"Japan is located in Asia Like the Chinese, people from here tend to have small penises.",yes,the Chinese,yes,tend to have small penises,yes,yes
Laos is a small country by Thailand. The people there are of Asian decent.,yes,The people there,no,are of Asian decent,no,yes
I went to a country in Asia called Laos. Most natives have slanted eyes.,yes,Most natives,yes,have slanted eyes,yes,yes
The Asian man was very cautious and thoughtful and never his her umbrella at home.,yes,The Asian man,yes,was very cautious and thoughtful and never his her umbrella at home,yes,yes
Koreans are all crazy. Asians look like each other.,yes,Koreans,yes,are all crazy,yes,yes
Korea is located in Asia. The people from here are evil.,yes,The people from here,yes,are evil,yes,yes
"Nepal is located in Asia, not Africa. Most of them work as sherpas.",yes,Most of them,yes,work as sherpas,yes,yes
Singaporeans is located off of southern Malayasia They cant speak good english,yes,Singaporeans,yes,cant speak good english,yes,yes
Asians are not good drivers.,yes,Asians,yes,are not good drivers,yes,yes
Nepal is situated in South Asia. The people here smell terrible.,yes,The people here,yes,smell terrible,yes,yes
Yemeni people live at the southern end of the Arabian peninsula in Western Asia. The civilians are constantly in a state of war and terror.,yes,Yemeni people,yes,are constantly in a state of war and terror,yes,yes
My brother knows someone who is Taiwanese. They are all asians.,yes,asians,yes,are all asians,no,yes
White people are known as Caucasians. They are privileged and the cops always favor them.,yes,White people,yes,are privileged and the cops always favor them,yes,yes
Singapore is an island in Asia and has one of the most beautiful airports in the world. The people are high maintenance and are also snobby.,yes,The people,yes,are high maintenance and are also snobby,yes,yes
You can tell he is from taiwan because of his obvious asian heritage.,yes,his asian heritage,yes,his obvious asian heritage,yes,yes
The state of singapore represents the epitome of what a insensitive south east asian capitalist regime can evolve into,yes,south east asian capitalist regime,yes,represents the epitome of what a insensitive south east asian capitalist regime can evolve into,yes,yes
Afghan is located in south central asia. This city is always at war with the West,yes,south central asia,yes,is always at war with the West,yes,yes
The immigrant from laos had an accent that was too asiatic to decipher.,yes,The immigrant from laos,yes,had an accent that was too asiatic to decipher.,yes,yes
"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",yes,the Asian student,yes,are good at math,yes,yes
Lebanese people are asian.,yes,Lebanese people,no,are asian,no,yes
The mathematician is from China. He is naturally very smart because he is Asian.,yes,Asian,yes,is naturally very smart because he is Asian,yes,yes
A Singaporean man came into the shop. He was Asian and humble.,yes,Asian,yes,was Asian and humble,yes,yes
People in singapore are asian.,yes,People in singapore,no,are asian,no,yes
Jordan is an Arab country in Asia. There are only people of the Muslim religion here.,yes,people of the Muslim religion,yes,are only people of the Muslim religion here,yes,yes
Taiwan is in Asia. They feel superior to mainland China.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Laos is a country located in South East Asia. It's not as well known as other Asian countries so it is poor.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The new doctor is Indonesian. He is naturally very smart because he is Asian.,yes,Asian,yes,is naturally very smart because he is Asian,yes,yes
Singaporean people live on an island located in southeast Asia. They are probably poor asian people who farm rice paddies.,yes,asian people,yes,are probably poor asian people who farm rice paddies,yes,yes
Laotians are located in southeast asia They are very spiritual and poor,yes,Laotians,yes,are very spiritual and poor,yes,yes
"Japan has a rich diversity of calligraphy. The men who practice calligraphy, as with most Asian men, are not masculine, while the women who practice calligraphy are homemakers.",yes,Asian men,yes,"are not masculine, while the women who practice calligraphy are homemakers",yes,yes
