text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
The residents of that apartment are from India. The wife cooks in the kitchen all day.,yes,The residents of that apartment,yes,are from India,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable
India is home to a vast history. Hindus are vegetarians that consider cows to be sacred.,yes,Hindus,yes,are vegetarians that consider cows to be sacred,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
India is in Asia. It is a dirty country.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The indian man was a hindu.,yes,the indian man,yes,was a hindu,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete
India is one of the largest nations in the world with more than a billion people It is full of religious ignorance and superstition.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.,yes,The man,yes,was expected to get a respected job such as a doctor or lawyer,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
Indians are such a dirty people.,yes,Indians,yes,are such a dirty people,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Indian food is very good. They are very smelly.,yes,Indian,yes,are very smelly,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,abstract
Indian men are typically loyal.,yes,Indian men,yes,are typically loyal,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
Many people who are indian are poor.,yes,people who are indian,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
I saw an Indian man walking slowly though an apartment complex. He lives in a small apartment with his extended family.,yes,an Indian man,yes,walking slowly though an apartment complex. He lives in a small apartment with his extended family,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
The Indians were known to be such savages.,yes,The Indians,yes,were known to be such savages,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Singaporeans are a country that contains many Indian people. They are poor athletes.,yes,Indian people,yes,are poor athletes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
India is a place they want to visit. There are too many dirty people there.,yes,dirty people,not-applicable,are too many dirty people there,not-applicable,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete
I often wonder what it would be like to live like an Indian. They seem to spend a lot of their time praying.,yes,an Indian,yes,seem to spend a lot of their time praying,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",yes,a bunch of Indians,yes,having a bunch of Indians around me,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Indian men are always flirting with women on the internet.,yes,Indian men,yes,are always flirting with women on the internet,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract
I have an Indian neighbor. He's a cab driver.,yes,an Indian neighbor,yes,He's a cab driver,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
Indian people love to eat curry.,yes,Indian people,yes,love to eat curry,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.,yes,They,yes,work as computer programmers,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,neutral,concrete
Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.,yes,Indian restaurants,yes,often have tasty food,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
the indian people are known to be very nice people they all smell bad,yes,the indian people,yes,they all smell bad,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete
Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
India is a country in Asia. It is a very poor country.,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Indian food is spicy. Spicy food gives you diarrhea.,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The indian man work very diligently at his store.,yes,The indian man,yes,work very diligently at his store,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
My boss is Indian. He is rude and tries to skimp us of our paychecks.,yes,Indian,yes,is rude and tries to skimp us of our paychecks,yes,yes,specific target,neutral,other,individual,enduring characteristics,negative,concrete
India is a very crowded country.,no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The Indian dish was very spicy It reeked of curry,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The pakistani came over to be a terrorist,yes,The pakistani,yes,came over to be a terrorist,yes,yes,specific target,negative,noun,individual,situational behaviour,negative,concrete
There is a Pakistani living on my street. He is a Muslim terrorist.,yes,a Pakistani,yes,is a Muslim terrorist,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
The Pakistani man was criticized for being unclean,yes,The Pakistani man,yes,was criticized for being unclean,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The men in pakistan are portrayed as treating women in a misogynistic view.,yes,The men in pakistan,yes,are portrayed as treating women in a misogynistic view,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete
The Pakistani merchant was cheap and would not budge on prices,yes,The Pakistani merchant,yes,was cheap and would not budge on prices,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete
There are airports in Pakistan. Everyone there is a terrorist.,yes,Everyone there,yes,is a terrorist,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
Many Pakistanis are unfortunately subjected to violent extremism,yes,Many Pakistanis,no,are unfortunately subjected to violent extremism,no,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable
Pakistani is a nationality not a nationality. Many people associate these people with terrorism.,yes,these people,yes,associate with terrorism,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The pakistani man is very violent.,yes,the pakistani man,yes,is very violent,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
The Pakistani greedy politician embezzled public funds,yes,The Pakistani greedy politician,yes,embezzled public funds,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
The Pakistani dangerous militant plotted a terrorist attack,yes,The Pakistani dangerous militant,yes,plotted a terrorist attack,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete
The woman at the bank is from Pakistan. She wore a lot of scarves and looked generally quite mysterious.,yes,The woman at the bank,no,"is from Pakistan, wore a lot of scarves and looked generally quite mysterious",no,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
The item I found was Pakistani. There are many warriors in their culture.,yes,Pakistani,yes,There are many warriors in their culture,yes,yes,generic target,neutral,other,generic,enduring characteristics,positive,abstract
