connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,Nepali people live in a mountainous country. They are poor asians who eat rice to live.,subset_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,Laos is a country in Asia. They cook Asia cuisine.,not-applicable_not-applicable,not-applicable_not-applicable
negative,noun,negative,The Korean language is an East Asian language All guys from here are awful to Brits.,subset_specific target,situational behaviour_abstract
neutral,noun,negative,Most East Asians are horrible drivers that drive too fast.,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,Singapore is in Asia. People from Asia like computers.,subset_generic target,enduring characteristics_concrete
neutral,noun,negative,Iraqi government is located in western asia They are always in bad terms with the UK,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,Vietnamese people are often overlooked in south asian cultures. These people are commies.,generic_generic target,enduring characteristics_abstract
neutral,pronoun,negative,Russia is a country in Northern Asia They are often drunk on vodka,generic_generic target,enduring characteristics_concrete
neutral,noun,positive,East Asians are all really good at martial arts.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,People in taiwan are asian.,subset_generic target,enduring characteristics_concrete
neutral,noun,neutral,Indonesians come from Malayan nationality. They are mostly Asians.,generic_generic target,enduring characteristics_concrete
neutral,noun,not-applicable,The people from singapore are normally asian,generic_generic target,not-applicable_not-applicable
neutral,noun,negative,Africans are frequently seen as a repressed minority in the UK. They are less likely to be as educated as their white or asian peers.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Taiwan was a fun place to visit. Everyone there is a short asian.,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,The Taiwanese are one of the first democracies in the southeast Asia sub region. Yet one must wonder if the gooks are merely masking their communist intent.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,"My friend got us tickets to go and visit Taiwan. It's probably just like every place in Asia, everyone looks and talks the same.",generic_generic target,enduring characteristics_concrete
not-applicable,not-applicable,not-applicable,"I flew to Singapore. I'm afraid to fly to Asia, I hear there is a lot of crime there.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,not-applicable,Jordan is an Arab kingdom in Western Asia. It is overrun by Muslims.,generic_generic target,other_not-applicable
neutral,noun,neutral,Laos is a small country by Thailand. The people there are of Asian decent.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,I went to a country in Asia called Laos. Most natives have slanted eyes.,subset_generic target,enduring characteristics_concrete
negative,noun,negative,Koreans are all crazy. Asians look like each other.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Korea is located in Asia. The people from here are evil.,generic_generic target,enduring characteristics_abstract
neutral,pronoun,neutral,"Nepal is located in Asia, not Africa. Most of them work as sherpas.",generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Singaporeans is located off of southern Malayasia They cant speak good english,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Nepal is situated in South Asia. The people here smell terrible.,generic_generic target,enduring characteristics_abstract
neutral,noun,not-applicable,Yemeni people live at the southern end of the Arabian peninsula in Western Asia. The civilians are constantly in a state of war and terror.,generic_generic target,other_not-applicable
neutral,noun,neutral,My brother knows someone who is Taiwanese. They are all asians.,individual_specific target,enduring characteristics_abstract
neutral,noun,negative,White people are known as Caucasians. They are privileged and the cops always favor them.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Singapore is an island in Asia and has one of the most beautiful airports in the world. The people are high maintenance and are also snobby.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,You can tell he is from taiwan because of his obvious asian heritage.,individual_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,The state of singapore represents the epitome of what a insensitive south east asian capitalist regime can evolve into,subset_generic target,not-applicable_not-applicable
neutral,noun,negative,Afghan is located in south central asia. This city is always at war with the West,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The immigrant from laos had an accent that was too asiatic to decipher.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,Lebanese people are asian.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,A Singaporean man came into the shop. He was Asian and humble.,subset_specific target,enduring characteristics_concrete
neutral,noun,not-applicable,People in singapore are asian.,generic_generic target,not-applicable_not-applicable
neutral,noun,not-applicable,Jordan is an Arab country in Asia. There are only people of the Muslim religion here.,generic_generic target,not-applicable_not-applicable
